ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,pontos_mandante,chutes_mandante,chutes_no_alvo_mandante,posse_de_bola_mandante,passes_mandante,precisao_passes_mandante,faltas_mandante,cartao_amarelo_mandante,cartao_vermelho_mandante,impedimentos_mandante,escanteios_mandante,pontos_visitante,chutes_visitante,chutes_no_alvo_visitante,posse_de_bola_visitante,passes_visitante,precisao_passes_visitante,faltas_visitante,cartao_amarelo_visitante,cartao_vermelho_visitante,impedimentos_visitante,escanteios_visitante
74,7,3/5/2003,16:00,Bahia,Gremio,,,,,Bahia,Fonte Nova,2,1,BA,RS,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,7,3/5/2003,18:00,Cruzeiro,Athletico-PR,,,,,Cruzeiro,Mineirão Cruzeiro,5,2,MG,PR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,7,4/5/2003,16:00,Fortaleza,Corinthians,,,,,Corinthians,Castelão Fortaleza,1,2,CE,SP,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
77,7,4/5/2003,16:00,Sao Paulo,Figueirense,,,,,Sao Paulo,Morumbi,3,2,SP,SC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,7,4/5/2003,16:00,Sao Caetano,Paysandu,,,,,Sao Caetano,Anacleto Campanella,2,0,SP,PA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,7,4/5/2003,16:00,Internacional,Goias,,,,,Internacional,Beira Rio,2,1,RS,GO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,7,4/5/2003,16:00,Ponte Preta,Atletico-MG,,,,,Ponte Preta,Moisés Lucarelli,2,1,SP,MG,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,7,4/5/2003,16:00,Juventude,Guarani,,,,,-,Alfredo Jaconi,1,1,RS,SP,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,7,4/5/2003,16:00,Coritiba,Parana,,,,,Coritiba,Couto Pereira,2,1,PR,PR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,7,4/5/2003,18:00,Criciuma,Santos,,,,,Santos,Heriberto Hulse,1,3,SC,SP,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
